1399734,1741275120,BTC,1586,206951,-0.1473,-0.0986,-0.0703,-nan,0.0000,0,0.0000,0.00,0.0175
1399735,1741275180,BTC,1586,206951,-0.1473,-0.0986,-0.0703,-nan,0.0000,0,0.0000,0.00,0.0175
1399736,1741275240,BTC,1586,206951,-0.1473,-0.0986,-0.0703,-nan,0.0000,0,0.0000,0.00,0.0175
1399737,1741275300,BTC,1586,206951,-0.1473,-0.0986,-0.0703,-nan,0.0000,0,0.0000,0.00,0.0175
1399738,1741275360,BTC,1586,206951,-0.1473,-0.0986,-0.0703,-nan,0.0000,0,0.0000,0.00,0.0175
1399739,1741275420,BTC,1586,206951,-0.1473,-0.0986,-0.0703,-nan,0.0000,0,0.0000,0.00,0.0175
1399740,1741275480,BTC,1586,206951,-0.1473,-0.0986,-0.0703,-nan,0.0000,0,0.0000,0.00,0.0175
1399741,1741275540,BTC,1586,206951,-0.1473,-0.0986,-0.0703,nan,0.0000,0,0.0000,0.00,0.0175
1392208,1776981960,BTC,2500,2500,0.4722,-9.2067,0.0009,nan,-15996.6494,1323876,0.4649,-7948.32,366.0120
1399742,1741275600,BTC,1586,206951,-0.1473,-0.0986,-0.0703,nan,0.0000,0,0.0000,0.00,0.0175
1399743,1741275660,BTC,1586,206951,-0.1473,-0.0986,-0.0703,nan,0.0000,0,0.0000,0.00,0.0175
1399744,1741275720,BTC,1586,206951,-0.1473,-0.0986,-0.0703,-nan,0.0000,0,0.0000,0.00,0.0175
1399745,1741275780,BTC,1586,206951,-0.1473,-0.0986,-0.0703,-nan,0.0000,0,0.0000,0.00,0.0175
1399746,1741275840,BTC,1586,206951,-0.1473,-0.0986,-0.0703,-nan,0.0000,0,0.0000,0.00,0.0175
1399747,1741275900,BTC,1586,206951,-0.1473,-0.0986,-0.0703,-nan,0.0000,0,0.0000,0.00,0.0175
1399748,1741275960,BTC,1586,206951,-0.1473,-0.0986,-0.0703,-nan,0.0000,0,0.0000,0.00,0.0175
1399749,1741276020,BTC,1586,206951,-0.1473,-0.0986,-0.0703,-nan,0.0000,0,0.0000,0.00,0.0175
1399750,1741276080,BTC,1586,206951,-0.1473,-0.0986,-0.0703,-nan,0.0000,0,0.0000,0.00,0.0175
